ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
CABIN-W1005,ABMI.2022.CABIN-W1005.A,Hinchliffe,17-Oct-22,7/21/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,LaPierre,Alex,2/9/2023,2,,mv,ABMI.A.44282,2022
W1020-D,ABMI.2022.W1020-D.A,Beamish,28-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,2/17/2023,10,,mv,ABMI.A.33713,2022
W1188-D,ABMI.2022.W1188-D.A,Lachance,8-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,4/13/2023,5,,mv,ABMI.A.33936,2022
W1189,ABMI.2022.W1189.A,Lachance,27-Oct-22,7/14/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,4/13/2023,2,,mv,ABMI.A.33946,2022
W1189,ABMI.2022.W1189.A,Lachance,27-Oct-22,7/14/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,4/13/2023,1,,mv,ABMI.A.33953,2022
W1221,ABMI.2022.W1221.A,LaPierre,21-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,5/15/2023,3,,mv,ABMI.A.34169,2022
CABIN-W1250,ABMI.2022.CABIN-W1250.A,LaPierre,1-Dec-22,7/8/2022,Bishop,Bee,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,LaPierre,Alex,6/9/2023,1,,mv,ABMI.A.44920,2022
CABIN-W1021,ABMI.2022.CABIN-W1021.A,LaPierre,14-Oct-22,6/28/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,3/15/2023,2,,mv,ABMI.A.44395,2022
CABIN-W1221-D,ABMI.2022.CABIN-W1221-D.A,LaPierre,23-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,5/29/2023,1,male,mv,ABMI.A.44813,2022
CABIN-W1219,ABMI.2022.CABIN-W1219.A,LaPierre,2-Nov-22,7/13/2022,Lachance,Rose,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,5/12/2023,1,,mv,ABMI.A.44705,2022
CABIN-W1189,ABMI.2022.CABIN-W1189.A,Hinchliffe,24-Oct-22,7/14/2022,Beamish,Kathleen,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,5/5/2023,1,,mv,ABMI.A.44660,2022
W1250,ABMI.2022.W1250.A,LaPierre,1-Dec-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,Tebby,Cheryl,6/15/2023,1,male,mv,ABMI.A.34227,2022
W1250-D,ABMI.2022.W1250-D.A,Tebby,30-Nov-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,Tebby,Cheryl,6/15/2023,1,female,mv,ABMI.A.34246,2022
CABIN-W987,ABMI.2022.CABIN-W987.A,Hinchliffe,20-Oct-22,7/11/2022,,,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,1/30/2023,1,,mv,ABMI.A.44228,2022
W1021,ABMI.2022.W1021.A,Lachance,13-Oct-22,6/28/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,Tebby,Cheryl,2/17/2023,1,,mv,ABMI.A.33733,2022
CABIN-W1021-D,ABMI.2022.CABIN-W1021-D.A,Beamish,14-Oct-22,6/28/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,3/17/2023,1,male,mv,ABMI.A.44410,2022
CABIN-W1055,ABMI.2022.CABIN-W1055.A,Hinchliffe,20-Oct-22,6/28/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,LaPierre,Alex,4/21/2023,1,,mv,ABMI.A.44536,2022
W1188,ABMI.2022.W1188.A,Lachance,4-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,americana,Cymatia americana,"Hussey, 1920",adult,Tebby,Cheryl,4/13/2023,1,female,mv,ABMI.A.33931,2022
CABIN-W938,ABMI.2022.CABIN-W938.A,Beamish,24-Oct-22,7/23/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Veliidae,Microveliinae,Microvelia,sp.,Microvelia,"Westwood, 1834",juvenile,LaPierre,Alex,1/19/2023,2,,mv,ABMI.A.44173,2022
CABIN-W1188,ABMI.2022.CABIN-W1188.A,LaPierre,10-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,,Hydroporinae,Hydroporinae,"Aubé, 1836",larva,Tebby,Cheryl,6/23/2023,1,,mv,ABMI.A.44588,2022
W1219-D,ABMI.2022.W1219-D.A,Lachance,1-Nov-22,7/13/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Coelambus,unguicularis,Coelambus unguicularis,"(Crotch, 1874)",adult,Tebby,Cheryl,5/12/2023,1,,mv,ABMI.A.34127,2022
CABIN-W1038-D,ABMI.2022.CABIN-W1038-D.A,LaPierre,4-Oct-22,7/22/2022,Shaw,Linus,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,sp.,Caenis,"Stephens, 1835",nymph,LaPierre,Alex,1/9/2023,1,,mv,ABMI.A.44122,2022
W1004,ABMI.2022.W1004.A,Beamish,7-Sep-22,7/25/2022,Shaw,Linus,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,sp.,Caenis,"Stephens, 1835",nymph,Tebby,Cheryl,12/5/2022,1,,mv,ABMI.A.33449,2022
W1038,ABMI.2022.W1038.A,Beamish,13-Sep-22,7/22/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,sp.,Caenis,"Stephens, 1835",nymph,Tebby,Cheryl,12/13/2022,1,,mv,ABMI.A.33465,2022
W1019-D,ABMI.2022.W1019-D.A,Beamish,6-Oct-22,6/29/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,sp.,Caenis,"Stephens, 1835",nymph,Tebby,Cheryl,2/14/2023,1,wingpads not developed,mv,ABMI.A.33693,2022
W1021-D,ABMI.2022.W1021-D.A,Lachance,12-Oct-22,6/28/2022,Shaw,Linus,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,2/22/2023,16,,mv,ABMI.A.33766,2022
W1021-D,ABMI.2022.W1021-D.A,Lachance,12-Oct-22,6/28/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,2/22/2023,2,,mv,ABMI.A.33771,2022
CABIN-W1053,ABMI.2022.CABIN-W1053.A,Lachance,25-Oct-22,7/10/2022,Shaw,Linus,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,3/31/2023,1,,mv,ABMI.A.44459,2022
W1053,ABMI.2022.W1053.A,Tebby,26-Oct-22,7/10/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,3/31/2023,1,,mv,ABMI.A.33874,2022
W1053,ABMI.2022.W1053.A,Tebby,26-Oct-22,7/10/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,3/31/2023,1,,mv,ABMI.A.33877,2022
W1053-D,ABMI.2022.W1053-D.A,Hinchliffe,21-Oct-22,7/10/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,3/31/2023,4,,mv,ABMI.A.33884,2022
W1055,ABMI.2022.W1055.A,LaPierre,19-Oct-22,6/28/2022,Bishop,Bee,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,3/31/2023,13,,mv,ABMI.A.33911,2022
CABIN-W1188-D,ABMI.2022.CABIN-W1188-D.A,Tebby,15-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,5/5/2023,3,,mv,ABMI.A.44644,2022
CABIN-W938,ABMI.2022.CABIN-W938.A,Beamish,24-Oct-22,7/23/2022,Lachance,Rose,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,1/19/2023,1,,mv,ABMI.A.44168,2022
CABIN-W1251,ABMI.2022.CABIN-W1251.A,Tebby,22-Nov-22,7/12/2022,Bishop,Bee,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,6/15/2023,10,,mv,ABMI.A.44964,2022
W1249,ABMI.2022.W1249.A,LaPierre,15-Nov-22,7/7/2022,Bishop,Bee,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,6/12/2023,1,,mv,ABMI.A.34203,2022
W1251,ABMI.2022.W1251.A,Tebby,16-Nov-22,7/12/2022,Bishop,Bee,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,6/15/2023,8,,mv,ABMI.A.34257,2022
W1251,ABMI.2022.W1251.A,Tebby,16-Nov-22,7/12/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,6/15/2023,1,,mv,ABMI.A.34264,2022
CABIN-W1188,ABMI.2022.CABIN-W1188.A,LaPierre,10-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,4/28/2023,1,,mv,ABMI.A.44582,2022
W1038,ABMI.2022.W1038.A,Beamish,13-Sep-22,7/22/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,12/13/2022,2,,mv,ABMI.A.33464,2022
CABIN-W971,ABMI.2022.CABIN-W971.A,Beamish,27-Sep-22,7/21/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,12/5/2022,1,,mv,ABMI.A.44027,2022
CABIN-W1004,ABMI.2022.CABIN-W1004.A,Beamish,29-Sep-22,7/25/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,12/16/2022,1,,mv,ABMI.A.44047,2022
W938,ABMI.2022.W938.A,Lachance,24-Oct-22,7/23/2022,Lachance,Rose,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,1/31/2023,1,,mv,ABMI.A.33618,2022
W1021,ABMI.2022.W1021.A,Lachance,13-Oct-22,6/28/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,2/17/2023,3,,mv,ABMI.A.33731,2022
CABIN-W1021-D,ABMI.2022.CABIN-W1021-D.A,Beamish,14-Oct-22,6/28/2022,Beamish,Kathleen,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,3/15/2023,1,,mv,ABMI.A.44402,2022
CABIN-W1055,ABMI.2022.CABIN-W1055.A,Hinchliffe,20-Oct-22,6/28/2022,Lachance,Rose,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,LaPierre,Alex,4/21/2023,3,,mv,ABMI.A.44534,2022
W1188,ABMI.2022.W1188.A,Lachance,4-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Furcatergalia,Caenidae,Caeninae,Caenis,youngi,Caenis youngi,"Roemhild, 1984",nymph,Tebby,Cheryl,4/13/2023,1,,mv,ABMI.A.33927,2022
CABIN-W1221-D,ABMI.2022.CABIN-W1221-D.A,LaPierre,23-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Belostomatidae,Lethocerinae,Lethocerus,sp.,Lethocerus,"Mayr, 1853",juvenile,LaPierre,Alex,5/29/2023,2,,mv,ABMI.A.44823,2022
W938,ABMI.2022.W938.A,Lachance,24-Oct-22,7/23/2022,Lachance,Rose,,,,,scv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Belostomatidae,Lethocerinae,Lethocerus,sp.,Lethocerus,"Mayr, 1853",juvenile,Tebby,Cheryl,1/31/2023,1,,scv,ABMI.A.33625,2022
CABIN-W1221,ABMI.2022.CABIN-W1221.A,LaPierre,22-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Belostomatidae,Lethocerinae,Lethocerus,sp.,Lethocerus,"Mayr, 1853",juvenile,LaPierre,Alex,5/26/2023,1,,mv,ABMI.A.44800,2022
CABIN-W973,ABMI.2022.CABIN-W973.A,LaPierre,22-Sep-22,7/24/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Belostomatidae,Lethocerinae,Lethocerus,sp.,Lethocerus,"Mayr, 1853",juvenile,LaPierre,Alex,12/16/2022,1,,mv,ABMI.A.44070,2022
CABIN-W1005,ABMI.2022.CABIN-W1005.A,Hinchliffe,17-Oct-22,7/21/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Belostomatidae,Lethocerinae,Lethocerus,sp.,Lethocerus,"Mayr, 1853",juvenile,LaPierre,Alex,2/9/2023,5,,mv,ABMI.A.44281,2022
W1021-D,ABMI.2022.W1021-D.A,Lachance,12-Oct-22,6/28/2022,Shaw,Linus,,,,,scv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Tebby,Cheryl,2/22/2023,2,,scv,ABMI.A.33770,2022
W1020-D,ABMI.2022.W1020-D.A,Beamish,28-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,3/31/2023,2,,mv,ABMI.A.33709,2022
W1021,ABMI.2022.W1021.A,Lachance,13-Oct-22,6/28/2022,Shaw,Linus,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,3/31/2023,1,,mv,ABMI.A.33726,2022
W1221,ABMI.2022.W1221.A,LaPierre,21-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,6/16/2023,4,,mv,ABMI.A.34167,2022
W1221-D,ABMI.2022.W1221-D.A,Tebby,17-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,6/16/2023,2,,mv,ABMI.A.34185,2022
W973,ABMI.2022.W973.A,Beamish,12-Sep-22,7/24/2022,Beamish,Kathleen,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,1,,mv,ABMI.A.33455,2022
CABIN-W973,ABMI.2022.CABIN-W973.A,LaPierre,22-Sep-22,7/24/2022,Shaw,Linus,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,15,,mv,ABMI.A.44061,2022
CABIN-W1188,ABMI.2022.CABIN-W1188.A,LaPierre,10-Nov-22,7/10/2022,Lachance,Rose,,,,,scv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,4/28/2023,1,,scv,ABMI.A.44594,2022
W1221,ABMI.2022.W1221.A,LaPierre,21-Nov-22,7/11/2022,Bishop,Bee,,,,,jar,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Tebby,Cheryl,5/15/2023,3,,jar,ABMI.A.34175,2022
W1221-D,ABMI.2022.W1221-D.A,Tebby,17-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Tebby,Cheryl,6/12/2023,1,,mv,ABMI.A.34194,2022
W1188,ABMI.2022.W1188.A,Lachance,4-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,6/16/2023,1,immature,mv,ABMI.A.33925,2022
W1220,ABMI.2022.W1220.A,Lachance,28-Sep-22,7/9/2022,Lachance,Rose,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,6/16/2023,1,immature,mv,ABMI.A.34132,2022
CABIN-W973,ABMI.2022.CABIN-W973.A,LaPierre,22-Sep-22,7/24/2022,Shaw,Linus,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,12/16/2022,6,,mv,ABMI.A.44062,2022
W1021,ABMI.2022.W1021.A,Lachance,13-Oct-22,6/28/2022,Shaw,Linus,,,,,scv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Tebby,Cheryl,2/17/2023,1,,scv,ABMI.A.33730,2022
CABIN-W1020-D,ABMI.2022.CABIN-W1020-D.A,Hinchliffe,13-Oct-22,7/9/2022,Shaw,Linus,,,,,scv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,3/27/2023,1,,scv,ABMI.A.44443,2022
W1040,ABMI.2022.W1040.A,Hinchliffe,14-Oct-22,7/22/2022,Bishop,Bee,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,3/31/2023,1,,mv,ABMI.A.33781,2022
CABIN-W1020-D,ABMI.2022.CABIN-W1020-D.A,Hinchliffe,13-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,3/24/2023,2,,mv,ABMI.A.44432,2022
W1221,ABMI.2022.W1221.A,LaPierre,21-Nov-22,7/11/2022,Bishop,Bee,,,,,scv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,Tebby,Cheryl,5/15/2023,1,,scv,ABMI.A.34166,2022
CABIN-W1221,ABMI.2022.CABIN-W1221.A,LaPierre,22-Nov-22,7/11/2022,Bishop,Bee,,,,,jar,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,subcrenata,Planorbella subcrenata,"(Carpenter, 1857)",unknown,LaPierre,Alex,5/26/2023,2,,jar,ABMI.A.44798,2022
