Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Location,Time,Depth (metres),Temperature (Degrees Celsius),pH,Dissolved Oxygen (milligrams/Litre),Conductivity (mSiemens/cm),Salinity (parts per thousand),Total Nitrogen (micrograms/Litre),Total Phosphorous (micrograms/Litre),Dissolved Organic Carbon (milligrams/Litre),Turbidity
Rotation 1,360,2007,20-Jul-07,RSW,Position 2,PNA,1.5,23.91,8.52,7.22,0.059,0.03,862,13,17.2,PNA
Rotation 1,360,2007,20-Jul-07,RSW,Position 3,PNA,1.4,23.82,8.45,7.57,0.059,0.03,862,13,17.2,PNA
Rotation 1,388,2007,18-Jul-07,AST,Deepest Point,PNA,14.5,23.77,8.24,8.2,0.302,0.15,431,9,8.4,PNA
Rotation 1,388,2007,18-Jul-07,AST,Position 2,PNA,14.1,23.78,8.31,8.1,0.303,0.15,431,9,8.4,PNA
Rotation 1,388,2007,18-Jul-07,AST,Position 3,PNA,13.5,23.81,8,8.33,0.303,0.15,431,9,8.4,PNA
Rotation 1,389,2007,20-Jul-07,RSW,Deepest Point,PNA,1,24.51,8.1,8.83,0.283,0.14,873,21,22.6,PNA
Rotation 1,389,2007,20-Jul-07,RSW,Position 2,PNA,0.7,26.15,8.36,7,0.287,0.14,873,21,22.6,PNA
Rotation 1,389,2007,20-Jul-07,RSW,Position 3,PNA,0.5,26.41,7.97,6.67,0.273,0.13,873,21,22.6,PNA
Rotation 1,390,2007,21-Jul-07,RSW,Deepest Point,PNA,1.2,21.79,7.77,7.38,0.08,0.04,1340,21,16.7,PNA
Rotation 1,390,2007,21-Jul-07,RSW,Position 2,PNA,1.1,21.84,7.75,7.7,0.079,0.04,1340,21,16.7,PNA
Rotation 1,390,2007,21-Jul-07,RSW,Position 3,PNA,1,22.04,7.75,7.81,0.08,0.04,1340,21,16.7,PNA
Rotation 1,484,2007,10-Jul-07,TNA,Deepest Point,PNA,1.4,18.6,7.41,8.01,0.048,0.03,1220,21,31.3,PNA
Rotation 1,484,2007,10-Jul-07,TNA,Position 2,PNA,1.1,18.45,7.24,8.16,0.048,0.03,1220,21,31.3,PNA
Rotation 1,484,2007,10-Jul-07,TNA,Position 3,PNA,1.2,18.56,7.23,8.49,0.048,0.03,1220,21,31.3,PNA
Rotation 1,512,2007,10-Jul-07,AST,Deepest Point,PNA,1.1,17.89,7.49,5.12,0.288,0.14,1070,23,17.5,PNA
Rotation 1,512,2007,10-Jul-07,AST,Position 2,PNA,0.9,17.94,7.58,5.91,0.288,0.14,1070,23,17.5,PNA
Rotation 1,512,2007,10-Jul-07,AST,Position 3,PNA,0.9,17.93,7.55,5.57,0.287,0.14,1070,23,17.5,PNA
Rotation 1,513,2007,17-Jul-07,AST,Deepest Point,PNA,1.7,22.3,5.29,7.98,0.021,0.02,1050,54,30.9,PNA
Rotation 1,513,2007,17-Jul-07,AST,Position 2,PNA,1.4,22.9,5.29,8.49,0.022,0.02,1050,54,30.9,PNA
Rotation 1,513,2007,17-Jul-07,AST,Position 3,PNA,1.6,23.1,5.3,8.4,0.022,0.02,1050,54,30.9,PNA
Rotation 1,514,2007,10-Jul-07,RSW,Deepest Point,PNA,1.5,18.77,6.33,1.93,0.065,0.03,4410,212,35.7,PNA
Rotation 1,514,2007,10-Jul-07,RSW,Position 2,PNA,1.6,18.8,6.44,2.5,0.065,0.03,4410,212,35.7,PNA
Rotation 1,514,2007,10-Jul-07,RSW,Position 3,PNA,1.3,20.35,6.5,3.31,0.066,0.03,4410,212,35.7,PNA
Rotation 1,515,2007,9-Jul-07,CHE,Deepest Point,PNA,1.1,17.73,9.12,7.82,0.146,0.07,1190,36,19,PNA
Rotation 1,515,2007,9-Jul-07,CHE,Position 2,PNA,0.9,17.69,9.07,7.87,0.145,0.07,1190,36,19,PNA
Rotation 1,515,2007,9-Jul-07,CHE,Position 3,PNA,0.9,17.6,9.13,7.81,0.146,0.07,1190,36,19,PNA
Rotation 1,543,2007,17-Jul-07,RSW,Deepest Point,PNA,1.2,21.33,6.23,1.5,0.058,0.03,1480,58,32.3,PNA
Rotation 1,543,2007,17-Jul-07,RSW,Position 2,PNA,0.8,22.86,6.4,2.67,0.054,0.03,1480,58,32.3,PNA
Rotation 1,543,2007,17-Jul-07,RSW,Position 3,PNA,0.8,21.73,6.33,3.2,0.057,0.03,1480,58,32.3,PNA
Rotation 1,544,2007,9-Jul-07,AST,Deepest Point,PNA,1.2,19.76,8.06,7.65,0.125,0.06,1150,24,31.7,PNA
Rotation 1,544,2007,9-Jul-07,AST,Position 2,PNA,0.9,19.88,8.15,7.62,0.125,0.06,1150,24,31.7,PNA
Rotation 1,544,2007,9-Jul-07,AST,Position 3,PNA,1.3,19.97,8.13,7.27,0.125,0.06,1150,24,31.7,PNA
Rotation 1,545,2007,9-Jul-07,RSW,Deepest Point,PNA,1,19.04,8.43,7.97,0.209,0.1,1600,47,67.8,PNA
Rotation 1,545,2007,9-Jul-07,RSW,Position 2,PNA,0.7,19.44,8.34,7.91,0.21,0.1,1600,47,67.8,PNA
Rotation 1,545,2007,9-Jul-07,RSW,Position 3,PNA,0.8,19.47,8,6.6,0.212,0.1,1600,47,67.8,PNA
Rotation 1,574,2007,21-Jul-07,AST,Deepest Point,PNA,1.8,24.3,9.11,10.3,0.177,0.09,961,47,19.5,PNA
Rotation 1,574,2007,21-Jul-07,AST,Position 2,PNA,1.8,24.27,9.28,10.4,0.175,0.09,961,47,19.5,PNA
