Site,Year,Sample_Depth_Mean,TOC
W450,2018,0.88,
W478,2018,1.22,60
W478-2,2018,1.22,60
W605,2018,0.96,75
W638,2018,1.18,60
W638-2,2018,1.20,60
W670,2018,3.90,60
W679,2018,5.32,45
W680,2018,2.04,60
W681,2018,0.91,60
W694,2018,1.26,60
W695,2018,0.92,60
W696,2018,1.89,75
W710,2018,0.68,60
W711,2018,3.07,60
W712,2018,0.59,60
W725,2018,0.95,90
W727,2018,2.74,150
W742,2018,1.64,60
W743,2018,1.09,45
W757,2018,1.20,80
W758,2018,0.93,115
CABIN-W19,2018,0.70,25
CABIN-W39,2018,0.50,15
CABIN-W298,2018,0.60,15
CABIN-W299,2018,1.00,20
CABIN-W418,2018,0.80,17
CABIN-W419,2018,1.00,20
CABIN-W450,2018,,
CABIN-W478,2018,0.70,20
CABIN-W478-2,2018,0.90,20
CABIN-W605,2018,0.90,20
CABIN-W638,2018,0.80,40
CABIN-W638-2,2018,0.80,20
CABIN-W670,2018,0.60,15
CABIN-W679,2018,0.75,30
CABIN-W680,2018,1.00,30
CABIN-W681,2018,0.90,35
CABIN-W694,2018,0.65,15
CABIN-W695,2018,0.70,15
CABIN-W696,2018,1.70,32
CABIN-W710,2018,0.60,25
CABIN-W711,2018,0.52,15
CABIN-W712,2018,0.65,18
CABIN-W725,2018,0.80,30
CABIN-W727,2018,0.75,22
CABIN-W742,2018,0.65,20
CABIN-W743,2018,0.55,10
CABIN-W757,2018,0.75,20
CABIN-W758,2018,0.90,38
